description,name,privilege_id,code,app_id,effective_start_date,effective_end_date
Allows management of work schedule assignments.,Manage Work Schedule Assignment,300000139141123,PER_MANAGE_WORK_SCHEDULE_ASSIGNMENT_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows review of the journals.,Review Journal,300000139141144,GL_REVIEW_ACTUAL_JOURNAL_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows viewing of classifications associated with a legal entity that represents its legal status within a country and which also guide the tax determination process.,View Legal Classification Association,300000139143235,ZX_VIEW_LEGAL_CLASSIFICATION_ASSOCIATION_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows viewing of the Siebel service requests data.,View Siebel Service Requests,300000139143011,ZCM_VIEW_SIEBEL_SERVICE_REQUESTS_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows viewing online reports to analyze the current status or results of a periodic compensation cycle.,Run Group Compensation Line Manager Reports by Line Manager,300000139143078,CMP_RUN_GROUP_COMPENSATION_LINE_MANAGER_REPORTS_BY_LINE_MANAGER_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows viewing of opportunity notes.,View Opportunity Notes,300000139143079,MOO_VIEW_OPPORTUNITY_NOTES_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
,Manage Trading Community Classification Lookups,300000139143085,HZ_MANAGE_TRADING_COMMUNITY_CLASSIFICATION_LOOKUPS_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Manage Receivables balances activities.,Manage Receivables Balances Activities,300000139143106,AR_MANAGE_RECEIVABLES_BALANCES_ACTIVITIES_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows a worker to view the worker's own performance information.,View Performance Information on Worker Dashboard,300000139143126,HRA_VIEW_PERFORMANCE_WORKER_DASHBOARD_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows users to modify requisitions as approvers.,Edit Requisition as Approver,300000139143238,POR_CREATE_REQUISITION_ALLOW_APPROVER_MODIFICATION_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
"Allows submission of the Assets by Cash Generating Unit report, which displays the assets assigned to cash generating units.",Submit Fixed Assets by Cash Generating Unit Report,300000139143261,FA_SUBMIT_FIXED_ASSET_BY_CASH_GENERATING_UNIT_REPORT_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Ability to create Feedback for Lightbox Document,Create Lightbox Feedback,300000152246100,ZSO_CREATE_SESSION_FEEDBACK_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows viewing Organization Hierarchy (Account Hierarchy),View Sales Organization Hierarchy,300000143860826,ZCM_VIEW_SALES_ORGANIZATION_HIERARCHY_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows submission of all asset lease Reports.,Submit Fixed Asset Lease Reports,300000152246102,FA_SUBMIT_FIXED_ASSET_LEASE_REPORTS_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Ability to view Feedback for Lightbox Document,View Lightbox Feedback,300000152246233,ZSO_VIEW_SESSION_FEEDBACK_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Privilege enables user to maintain costs of development items.,Maintain Development Item Costs,300000152246169,ACA_MAINTAIN_DEVELOPMENT_ITEM_COSTS_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allow financials and supply chain users to access the methods associated with the Integration Rest Service.,Access FSCM Integration Rest Service,300000152245867,FUN_FSCM_REST_SERVICE_ACCESS_INTEGRATION_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows users to unseal sealed negotiations.,Unseal Supplier Negotiation,300000139138630,PON_UNSEAL_SUPPLIER_NEGOTIATION_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
"Allows verification of earning transaction detail for which the application calculated incentive compensation commission, bonus, or nonmonetary incentive.",Maintain Incentive Compensation Transaction,300000139138612,CN_MAINTAIN_INCENTIVE_COMPENSATION_TRANSACTION_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows access to import and export tax party configuration data.,Manage Tax Party Import and Export Services,300000139138632,ZX_TAX_PARTY_IMPORT_EXPORT_SERV_PRIV_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows management of performance goals of subordinates.,Manage Performance Goal by Manager,300000139138658,HRG_MANAGE_PERFORMANCE_GOAL_BY_MANAGER_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows management of beneficiary organization details.,Manage Beneficiary Organization Details,300000139138659,BEN_MANAGE_BENEFICIARY_ORGANIZATION_DETAILS_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows access to manage own personal payment methods.,Manage Personal Payment Method,300000139138873,PAY_MANAGE_PERSONAL_PAYMENT_METHODS_FOR_WORKER_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Manage Enterprise Financial Data Export Options for China,Manage Enterprise Financial Data Export Options for China,300000139138892,JA_CN_MANAGE_FINANCIAL_DATA_EXPORT_OPTIONS_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows management of the subset of customers who funds research projects.,Manage Grants Sponsor,300000139138911,GMS_MANAGE_GRANTS_SPONSOR_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows the running of the process that generates the party hierarchy.,Run Trading Community Party Hierarchy Generation,300000139138874,HZ_RUN_TRADING_COMMUNITY_PARTY_REPORTING_HIERARCHY_GENERATION_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
,Create Marketing Claim,300000139138875,MKT_CREATE_MARKETING_CLAIM_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows review of banks.,View Bank,300000139138895,CE_VIEW_BANK_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows access to manage default item catalog associations to functional areas.,Manage Item Default Functional Area,300000139138878,EGP_MANAGE_ITEM_DEFAULT_FUNCTIONAL_AREA_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows deleting of the stage environment with all its dimension members.,Run Territory Clear Stage Job,300000139138937,MOT_RUN_TERRITORY_CLEAR_STAGE_JOB_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
"Allows performing, saving, and reassessing opportunity assessments, and allows viewing recommended activity templates.",Manage Opportunity Assessments,300000139138879,MOO_MANAGE_OPPORTUNITY_ASSESSMENTS_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
